,dataset,algorithm,split_number,pchembl_value,predicted,absolute_error
CHEMBL3104177,NYPR2,modsar,1,7.42,7.15,0.2699999999999996
CHEMBL3104184,NYPR2,modsar,1,6.89,7.15,0.2600000000000007
CHEMBL3104189,NYPR2,modsar,1,6.34,7.15,0.8100000000000005
CHEMBL3104191,NYPR2,modsar,1,6.7,7.15,0.4500000000000002
CHEMBL3104194,NYPR2,modsar,1,7.74,7.15,0.5899999999999999
CHEMBL3104203,NYPR2,modsar,1,6.52,7.15,0.6300000000000008
CHEMBL3104206,NYPR2,modsar,1,7.14,7.15,0.010000000000000675
CHEMBL3104207,NYPR2,modsar,1,7.7,7.15,0.5499999999999998
CHEMBL3104211,NYPR2,modsar,1,5.52,7.15,1.6300000000000008
CHEMBL3104214,NYPR2,modsar,1,7.48,7.15,0.33000000000000007
CHEMBL3195229,NYPR2,modsar,1,5.04,5.260000000000005,0.22000000000000508
CHEMBL411200,NYPR2,modsar,1,8.43,8.02,0.41000000000000014
CHEMBL411800,NYPR2,modsar,1,7.28,8.02,0.7399999999999993
CHEMBL412698,NYPR2,modsar,1,9.01,8.02,0.9900000000000002
CHEMBL413612,NYPR2,modsar,1,8.74,8.02,0.7200000000000006
CHEMBL41457,NYPR2,modsar,1,4.01,4.23,0.22000000000000064
CHEMBL414827,NYPR2,modsar,1,5.32,5.04,0.28000000000000025
CHEMBL425095,NYPR2,modsar,1,8.42,8.02,0.40000000000000036
CHEMBL428320,NYPR2,modsar,1,8.68,8.02,0.6600000000000001
CHEMBL429698,NYPR2,modsar,1,8.15,8.02,0.13000000000000078
CHEMBL430274,NYPR2,modsar,1,8.58,8.02,0.5600000000000005
CHEMBL432651,NYPR2,modsar,1,4.92,5.04,0.1200000000000001
CHEMBL438945,NYPR2,modsar,1,9.72,8.02,1.700000000000001
CHEMBL441516,NYPR2,modsar,1,4.52,5.04,0.5200000000000005
CHEMBL78040,NYPR2,modsar,1,5.96,7.15,1.1900000000000004
CHEMBL95501,NYPR2,modsar,1,6.175,5.04,1.1349999999999998
CHEMBL95963,NYPR2,modsar,1,6.35,5.04,1.3099999999999996
CHEMBL98875,NYPR2,modsar,1,5.66,5.04,0.6200000000000001
CHEMBL1082365,CHRM3,modsar,1,5.3,5.81,0.5099999999999998
CHEMBL1083002,CHRM3,modsar,1,5.0,5.81,0.8099999999999996
CHEMBL1085985,CHRM3,modsar,1,5.9,5.81,0.09000000000000075
CHEMBL1090096,CHRM3,modsar,1,5.37,5.81,0.4399999999999995
CHEMBL1180285,CHRM3,modsar,1,7.055,5.8300000000000125,1.2249999999999872
CHEMBL1180292,CHRM3,modsar,1,6.94,5.8300000000000125,1.1099999999999879
CHEMBL1180296,CHRM3,modsar,1,5.16,5.8300000000000125,0.6700000000000124
CHEMBL1180309,CHRM3,modsar,1,4.84,5.8300000000000125,0.9900000000000126
CHEMBL1180349,CHRM3,modsar,1,6.06,5.300000000000011,0.7599999999999882
CHEMBL1183926,CHRM3,modsar,1,6.27,6.400000000000006,0.1300000000000061
CHEMBL1184062,CHRM3,modsar,1,4.05,5.8300000000000125,1.7800000000000127
CHEMBL1184092,CHRM3,modsar,1,6.54,6.400000000000006,0.13999999999999435
CHEMBL1184098,CHRM3,modsar,1,5.17,5.8300000000000125,0.6600000000000126
CHEMBL1184119,CHRM3,modsar,1,6.24,6.400000000000006,0.16000000000000547
CHEMBL1184138,CHRM3,modsar,1,5.5,5.8300000000000125,0.3300000000000125
CHEMBL1184139,CHRM3,modsar,1,6.79,6.400000000000006,0.38999999999999435
CHEMBL1186783,CHRM3,modsar,1,4.06,4.52,0.45999999999999996
CHEMBL1190178,CHRM3,modsar,1,5.91,6.1299999999999955,0.2199999999999953
CHEMBL1190784,CHRM3,modsar,1,6.39,4.280000000000001,2.1099999999999985
CHEMBL1192001,CHRM3,modsar,1,6.68,4.280000000000001,2.3999999999999986
CHEMBL1194274,CHRM3,modsar,1,9.41,9.430000000000064,0.020000000000063523
CHEMBL1194325,CHRM3,modsar,1,9.835,9.430000000000064,0.4049999999999372
CHEMBL1195513,CHRM3,modsar,1,9.35,9.430000000000064,0.08000000000006402
CHEMBL1196395,CHRM3,modsar,1,5.68,5.81,0.1299999999999999
CHEMBL1197183,CHRM3,modsar,1,9.15,9.1,0.05000000000000071
CHEMBL1197250,CHRM3,modsar,1,8.77,9.1,0.33000000000000007
CHEMBL1197261,CHRM3,modsar,1,9.55,9.1,0.45000000000000107
CHEMBL1197273,CHRM3,modsar,1,9.32,9.430000000000064,0.11000000000006338
CHEMBL1200604,CHRM3,modsar,1,6.85,7.730000000000018,0.8800000000000185
CHEMBL1201268,CHRM3,modsar,1,8.95,7.490000000000009,1.4599999999999902
CHEMBL1262,CHRM3,modsar,1,5.34,5.470300174114692,0.13030017411469252
CHEMBL1289314,CHRM3,modsar,1,6.7,6.799999999999997,0.09999999999999698
CHEMBL1289432,CHRM3,modsar,1,6.4,6.799999999999997,0.3999999999999968
CHEMBL1289653,CHRM3,modsar,1,8.9,7.700000000000003,1.1999999999999975
CHEMBL1289866,CHRM3,modsar,1,8.4,7.700000000000003,0.6999999999999975
CHEMBL1290183,CHRM3,modsar,1,7.0,5.81,1.1900000000000004
CHEMBL1290184,CHRM3,modsar,1,7.0,5.81,1.1900000000000004
CHEMBL134641,CHRM3,modsar,1,7.22,5.92,1.2999999999999998
CHEMBL1490,CHRM3,modsar,1,7.7,7.730000000000018,0.030000000000018012
CHEMBL15675,CHRM3,modsar,1,5.01,4.6,0.41000000000000014
CHEMBL1626,CHRM3,modsar,1,7.41,9.430000000000064,2.0200000000000635
CHEMBL168067,CHRM3,modsar,1,8.975,9.1,0.125
CHEMBL1770373,CHRM3,modsar,1,6.52,6.35,0.16999999999999993
CHEMBL1777826,CHRM3,modsar,1,8.92,7.730000000000018,1.1899999999999817
CHEMBL1779037,CHRM3,modsar,1,8.77,7.730000000000018,1.0399999999999814
CHEMBL1779038,CHRM3,modsar,1,6.18,7.730000000000018,1.5500000000000185
CHEMBL1779042,CHRM3,modsar,1,7.13,7.730000000000018,0.6000000000000183
CHEMBL1779044,CHRM3,modsar,1,8.62,7.730000000000018,0.889999999999981
CHEMBL1779045,CHRM3,modsar,1,8.85,7.730000000000018,1.1199999999999815
CHEMBL1779046,CHRM3,modsar,1,8.82,7.730000000000018,1.089999999999982
CHEMBL1789387,CHRM3,modsar,1,9.52,9.1,0.41999999999999993
CHEMBL1789454,CHRM3,modsar,1,9.22,9.430000000000064,0.21000000000006303
CHEMBL1921802,CHRM3,modsar,1,8.5,9.1,0.5999999999999996
CHEMBL1921910,CHRM3,modsar,1,9.7,9.1,0.5999999999999996
CHEMBL1921912,CHRM3,modsar,1,8.2,9.5,1.3000000000000007
CHEMBL1921914,CHRM3,modsar,1,9.7,9.430000000000064,0.2699999999999356
CHEMBL1921917,CHRM3,modsar,1,10.1,9.1,1.0
CHEMBL1921919,CHRM3,modsar,1,9.9,9.1,0.8000000000000007
CHEMBL1921922,CHRM3,modsar,1,8.9,9.1,0.1999999999999993
CHEMBL1921930,CHRM3,modsar,1,8.5,9.1,0.5999999999999996
CHEMBL1921933,CHRM3,modsar,1,9.0,9.1,0.09999999999999964
CHEMBL1921937,CHRM3,modsar,1,10.1,9.430000000000064,0.669999999999936
CHEMBL1921938,CHRM3,modsar,1,9.1,9.1,0.0
CHEMBL1921943,CHRM3,modsar,1,9.7,9.430000000000064,0.2699999999999356
CHEMBL1921945,CHRM3,modsar,1,10.0,9.430000000000064,0.5699999999999363
CHEMBL1921946,CHRM3,modsar,1,9.9,9.1,0.8000000000000007
CHEMBL1922057,CHRM3,modsar,1,9.4,9.5,0.09999999999999964
CHEMBL1924025,CHRM3,modsar,1,9.8,9.430000000000064,0.36999999999993705
CHEMBL1924028,CHRM3,modsar,1,8.5,9.430000000000064,0.9300000000000637
CHEMBL1924032,CHRM3,modsar,1,8.9,9.1,0.1999999999999993
CHEMBL1924040,CHRM3,modsar,1,10.3,9.1,1.200000000000001
CHEMBL1963231,CHRM3,modsar,1,8.8,9.430000000000064,0.630000000000063
CHEMBL2023761,CHRM3,modsar,1,7.58,7.490000000000009,0.08999999999999098
CHEMBL2206588,CHRM3,modsar,1,7.3,7.3,0.0
CHEMBL2206602,CHRM3,modsar,1,7.15,7.300045541442713,0.15004554144271243
CHEMBL2206606,CHRM3,modsar,1,8.21,7.300045541442713,0.9099544585572881
CHEMBL2206608,CHRM3,modsar,1,7.48,7.300045541442713,0.17995445855728764
CHEMBL2306159,CHRM3,modsar,1,5.98,6.110000000000014,0.13000000000001322
CHEMBL294726,CHRM3,modsar,1,4.82,5.55,0.7299999999999995
CHEMBL3084393,CHRM3,modsar,1,5.82,6.110000000000014,0.29000000000001336
CHEMBL3084670,CHRM3,modsar,1,5.56,6.110000000000014,0.550000000000014
CHEMBL3084674,CHRM3,modsar,1,5.54,6.110000000000014,0.5700000000000136
CHEMBL3085076,CHRM3,modsar,1,7.13,6.110000000000014,1.0199999999999863
CHEMBL3085083,CHRM3,modsar,1,5.94,6.110000000000014,0.17000000000001325
CHEMBL3085084,CHRM3,modsar,1,5.67,6.110000000000014,0.4400000000000137
CHEMBL3087230,CHRM3,modsar,1,10.3,9.430000000000064,0.869999999999937
CHEMBL3087232,CHRM3,modsar,1,9.8,9.430000000000064,0.36999999999993705
CHEMBL3087234,CHRM3,modsar,1,9.3,9.430000000000064,0.13000000000006295
CHEMBL3087239,CHRM3,modsar,1,7.0,9.430000000000064,2.4300000000000637
CHEMBL3087362,CHRM3,modsar,1,9.8,9.430000000000064,0.36999999999993705
CHEMBL3087364,CHRM3,modsar,1,9.7,9.430000000000064,0.2699999999999356
CHEMBL3087365,CHRM3,modsar,1,8.6,9.430000000000064,0.830000000000064
CHEMBL3087367,CHRM3,modsar,1,9.8,9.430000000000064,0.36999999999993705
CHEMBL3087945,CHRM3,modsar,1,8.6,9.430000000000064,0.830000000000064
CHEMBL3087947,CHRM3,modsar,1,9.1,9.430000000000064,0.330000000000064
CHEMBL3087949,CHRM3,modsar,1,10.0,9.430000000000064,0.5699999999999363
CHEMBL3087950,CHRM3,modsar,1,8.5,9.430000000000064,0.9300000000000637
CHEMBL3087953,CHRM3,modsar,1,9.8,9.5,0.3000000000000007
CHEMBL3087955,CHRM3,modsar,1,9.4,9.430000000000064,0.03000000000006331
CHEMBL3088075,CHRM3,modsar,1,10.1,9.430000000000064,0.669999999999936
CHEMBL3088076,CHRM3,modsar,1,8.6,9.430000000000064,0.830000000000064
CHEMBL3088079,CHRM3,modsar,1,8.5,9.430000000000064,0.9300000000000637
CHEMBL3088081,CHRM3,modsar,1,10.2,9.430000000000064,0.7699999999999356
CHEMBL3088084,CHRM3,modsar,1,9.8,9.430000000000064,0.36999999999993705
CHEMBL3140096,CHRM3,modsar,1,7.07,7.490000000000009,0.4200000000000088
CHEMBL3140145,CHRM3,modsar,1,6.95,7.490000000000009,0.5400000000000089
CHEMBL3140170,CHRM3,modsar,1,8.34,7.490000000000009,0.8499999999999908
CHEMBL3140172,CHRM3,modsar,1,7.13,7.490000000000009,0.3600000000000092
CHEMBL3140214,CHRM3,modsar,1,6.39,7.490000000000009,1.1000000000000094
CHEMBL3140215,CHRM3,modsar,1,6.15,7.490000000000009,1.3400000000000087
CHEMBL3140260,CHRM3,modsar,1,6.81,7.490000000000009,0.6800000000000095
CHEMBL3401642,CHRM3,modsar,1,6.96,8.190000000000055,1.2300000000000546
CHEMBL3559195,CHRM3,modsar,1,9.15,9.430000000000064,0.2800000000000633
CHEMBL3559201,CHRM3,modsar,1,9.15,9.430000000000064,0.2800000000000633
CHEMBL3559203,CHRM3,modsar,1,8.7,9.430000000000064,0.7300000000000644
CHEMBL3559205,CHRM3,modsar,1,7.22,9.1,1.88
CHEMBL3559210,CHRM3,modsar,1,6.88,9.1,2.2199999999999998
CHEMBL3633656,CHRM3,modsar,1,4.81,4.265,0.5449999999999999
CHEMBL3633663,CHRM3,modsar,1,4.835,4.265,0.5700000000000003
CHEMBL41,CHRM3,modsar,1,5.44,6.35,0.9099999999999993
CHEMBL448294,CHRM3,modsar,1,8.2,7.8,0.39999999999999947
CHEMBL449640,CHRM3,modsar,1,7.6,7.8,0.20000000000000018
CHEMBL450781,CHRM3,modsar,1,8.1,7.8,0.2999999999999998
CHEMBL451040,CHRM3,modsar,1,7.0,6.3,0.7000000000000002
CHEMBL457302,CHRM3,modsar,1,6.6,7.300003795120226,0.7000037951202263
CHEMBL459265,CHRM3,modsar,1,5.36,6.329999999999988,0.9699999999999873
CHEMBL479,CHRM3,modsar,1,7.05,5.82,1.2299999999999995
CHEMBL486982,CHRM3,modsar,1,8.0,7.300003795120226,0.6999962048797741
CHEMBL490,CHRM3,modsar,1,6.75,5.81,0.9400000000000004
CHEMBL492391,CHRM3,modsar,1,5.9,6.5,0.5999999999999996
CHEMBL492978,CHRM3,modsar,1,8.0,6.5,1.5
CHEMBL492989,CHRM3,modsar,1,5.3,5.81,0.5099999999999998
CHEMBL494749,CHRM3,modsar,1,7.7,6.5,1.2000000000000002
CHEMBL494752,CHRM3,modsar,1,6.7,6.5,0.20000000000000018
CHEMBL494779,CHRM3,modsar,1,5.2,6.5,1.2999999999999998
CHEMBL494951,CHRM3,modsar,1,5.7,6.5,0.7999999999999998
CHEMBL495180,CHRM3,modsar,1,7.1,6.5,0.5999999999999996
CHEMBL495360,CHRM3,modsar,1,6.3,6.5,0.20000000000000018
CHEMBL501419,CHRM3,modsar,1,7.5,7.300045541442713,0.19995445855728722
CHEMBL501727,CHRM3,modsar,1,4.7,7.300045541442713,2.6000455414427126
CHEMBL503025,CHRM3,modsar,1,7.3,6.3,1.0
CHEMBL505197,CHRM3,modsar,1,5.23,5.917015563916179,0.6870155639161784
CHEMBL505452,CHRM3,modsar,1,7.7,7.300045541442713,0.3999544585572874
CHEMBL505651,CHRM3,modsar,1,8.2,7.8,0.39999999999999947
CHEMBL507760,CHRM3,modsar,1,5.33,5.34,0.009999999999999787
CHEMBL509614,CHRM3,modsar,1,7.5,7.8,0.2999999999999998
CHEMBL513228,CHRM3,modsar,1,6.1,7.300045541442713,1.2000455414427131
CHEMBL516,CHRM3,modsar,1,7.34,5.829999999999998,1.5100000000000016
CHEMBL517087,CHRM3,modsar,1,7.6,7.300045541442713,0.29995445855728686
CHEMBL517712,CHRM3,modsar,1,8.68,6.110000000000014,2.569999999999986
CHEMBL526009,CHRM3,modsar,1,7.8,7.300045541442713,0.49995445855728704
CHEMBL534,CHRM3,modsar,1,5.66,6.02,0.35999999999999943
CHEMBL554699,CHRM3,modsar,1,9.15,8.190000000000055,0.9599999999999458
CHEMBL562642,CHRM3,modsar,1,9.41,8.190000000000055,1.2199999999999456
CHEMBL61412,CHRM3,modsar,1,5.83,5.55,0.28000000000000025
CHEMBL629,CHRM3,modsar,1,7.59,6.77,0.8200000000000003
CHEMBL633,CHRM3,modsar,1,5.49,5.529999999999994,0.03999999999999382
CHEMBL657,CHRM3,modsar,1,6.19,6.35,0.15999999999999925
CHEMBL71,CHRM3,modsar,1,6.69,5.82,0.8700000000000001
CHEMBL75880,CHRM3,modsar,1,5.51,4.057373737373736,1.4526262626262634
CHEMBL1083403,CHRM3,modsar,1,5.4,6.5,1.0999999999999996
CHEMBL1085507,CHRM3,modsar,1,5.4,6.5,1.0999999999999996
CHEMBL1085985,CHRM3,modsar,1,5.9,6.5,0.5999999999999996
CHEMBL1090097,CHRM3,modsar,1,5.38,6.5,1.12
CHEMBL1094003,CHRM3,modsar,1,6.09,6.5,0.41000000000000014
CHEMBL1180284,CHRM3,modsar,1,5.26,6.06,0.7999999999999998
CHEMBL1180285,CHRM3,modsar,1,7.055,6.06,0.9950000000000001
CHEMBL1180305,CHRM3,modsar,1,5.3,6.06,0.7599999999999998
CHEMBL1180314,CHRM3,modsar,1,5.96,6.06,0.09999999999999964
CHEMBL1180316,CHRM3,modsar,1,6.81,6.06,0.75
CHEMBL1180343,CHRM3,modsar,1,4.28,6.06,1.7799999999999994
CHEMBL1180367,CHRM3,modsar,1,5.83,6.06,0.22999999999999954
CHEMBL1184092,CHRM3,modsar,1,6.54,6.06,0.4800000000000004
CHEMBL1184098,CHRM3,modsar,1,5.17,6.06,0.8899999999999997
CHEMBL1184108,CHRM3,modsar,1,4.78,6.06,1.2799999999999994
CHEMBL1184116,CHRM3,modsar,1,7.39,6.06,1.33
CHEMBL1184120,CHRM3,modsar,1,5.73,6.06,0.3299999999999992
CHEMBL1184188,CHRM3,modsar,1,5.39,6.06,0.6699999999999999
CHEMBL1184244,CHRM3,modsar,1,6.66,6.06,0.6000000000000005
CHEMBL1186941,CHRM3,modsar,1,4.41,4.66,0.25
CHEMBL1187077,CHRM3,modsar,1,4.52,4.66,0.14000000000000057
CHEMBL1187132,CHRM3,modsar,1,4.89,4.66,0.22999999999999954
CHEMBL1190784,CHRM3,modsar,1,6.39,6.06,0.33000000000000007
CHEMBL1192621,CHRM3,modsar,1,6.13,6.06,0.07000000000000028
CHEMBL1196247,CHRM3,modsar,1,9.6,9.22,0.379999999999999
CHEMBL1196395,CHRM3,modsar,1,5.68,7.8,2.12
CHEMBL1197183,CHRM3,modsar,1,9.15,9.22,0.07000000000000028
CHEMBL121059,CHRM3,modsar,1,6.7,6.06,0.6400000000000006
CHEMBL1231,CHRM3,modsar,1,8.57,9.22,0.6500000000000004
CHEMBL1289081,CHRM3,modsar,1,7.2,6.7,0.5
CHEMBL1289432,CHRM3,modsar,1,6.4,6.7,0.2999999999999998
CHEMBL1289654,CHRM3,modsar,1,8.1,7.8,0.2999999999999998
CHEMBL1289758,CHRM3,modsar,1,7.8,7.8,0.0
CHEMBL1290077,CHRM3,modsar,1,6.4,7.8,1.3999999999999995
CHEMBL1290184,CHRM3,modsar,1,7.0,6.5,0.5
CHEMBL1290634,CHRM3,modsar,1,6.1,7.8,1.7000000000000002
CHEMBL135645,CHRM3,modsar,1,7.55,7.22,0.33000000000000007
CHEMBL137384,CHRM3,modsar,1,6.42,5.920000000000002,0.4999999999999982
CHEMBL15675,CHRM3,modsar,1,5.01,4.6,0.41000000000000014
CHEMBL1618018,CHRM3,modsar,1,7.12,7.05,0.07000000000000028
CHEMBL1626,CHRM3,modsar,1,7.41,9.22,1.8100000000000005
CHEMBL1734,CHRM3,modsar,1,6.88,8.23,1.3500000000000005
CHEMBL1779035,CHRM3,modsar,1,7.15,8.23,1.08
CHEMBL1779044,CHRM3,modsar,1,8.62,8.23,0.3899999999999988
CHEMBL1789388,CHRM3,modsar,1,9.3,9.22,0.08000000000000007
CHEMBL1789389,CHRM3,modsar,1,9.22,9.22,0.0
CHEMBL1889399,CHRM3,modsar,1,6.8,9.22,2.420000000000001
CHEMBL1900528,CHRM3,modsar,1,9.46,7.05,2.410000000000001
CHEMBL1921904,CHRM3,modsar,1,9.8,9.22,0.5800000000000001
CHEMBL1921919,CHRM3,modsar,1,9.9,9.22,0.6799999999999997
CHEMBL1921924,CHRM3,modsar,1,9.5,9.22,0.27999999999999936
CHEMBL1921926,CHRM3,modsar,1,9.4,9.22,0.17999999999999972
CHEMBL1921929,CHRM3,modsar,1,9.2,9.22,0.02000000000000135
CHEMBL1921930,CHRM3,modsar,1,8.5,9.22,0.7200000000000006
CHEMBL1921935,CHRM3,modsar,1,10.2,9.22,0.9799999999999986
CHEMBL1921941,CHRM3,modsar,1,9.9,9.22,0.6799999999999997
CHEMBL1921945,CHRM3,modsar,1,10.0,9.22,0.7799999999999994
CHEMBL1922048,CHRM3,modsar,1,8.9,9.22,0.3200000000000003
CHEMBL1922050,CHRM3,modsar,1,9.7,9.22,0.47999999999999865
CHEMBL1922055,CHRM3,modsar,1,9.7,9.22,0.47999999999999865
CHEMBL1924029,CHRM3,modsar,1,9.6,9.22,0.379999999999999
CHEMBL1924030,CHRM3,modsar,1,9.1,9.22,0.120000000000001
CHEMBL1924036,CHRM3,modsar,1,10.0,9.22,0.7799999999999994
CHEMBL1924040,CHRM3,modsar,1,10.3,9.22,1.08
CHEMBL1924041,CHRM3,modsar,1,8.5,9.22,0.7200000000000006
CHEMBL1924042,CHRM3,modsar,1,9.0,9.22,0.22000000000000064
CHEMBL195437,CHRM3,modsar,1,4.72,6.190000000000001,1.4700000000000015
CHEMBL1983100,CHRM3,modsar,1,4.06,4.24,0.1800000000000006
CHEMBL2203713,CHRM3,modsar,1,5.35,8.23,2.880000000000001
CHEMBL2206589,CHRM3,modsar,1,7.56,7.3,0.2599999999999998
CHEMBL2206599,CHRM3,modsar,1,7.34,7.3,0.040000000000000036
CHEMBL2206602,CHRM3,modsar,1,7.15,7.3,0.14999999999999947
CHEMBL2206603,CHRM3,modsar,1,6.85,7.3,0.4500000000000002
CHEMBL2206605,CHRM3,modsar,1,7.09,7.3,0.20999999999999996
CHEMBL2219563,CHRM3,modsar,1,6.5,6.06,0.4400000000000004
CHEMBL2306159,CHRM3,modsar,1,5.98,7.05,1.0699999999999994
CHEMBL2307674,CHRM3,modsar,1,5.87,7.05,1.1799999999999997
CHEMBL30008,CHRM3,modsar,1,5.83,6.134997795690105,0.3049977956901051
CHEMBL305660,CHRM3,modsar,1,6.19,8.23,2.04
CHEMBL3084394,CHRM3,modsar,1,6.87,7.05,0.17999999999999972
CHEMBL3084639,CHRM3,modsar,1,6.69,7.05,0.35999999999999943
CHEMBL3084674,CHRM3,modsar,1,5.54,7.05,1.5099999999999998
CHEMBL3085077,CHRM3,modsar,1,7.69,7.05,0.6400000000000006
CHEMBL3085078,CHRM3,modsar,1,7.56,7.05,0.5099999999999998
CHEMBL3085087,CHRM3,modsar,1,7.24,7.05,0.1900000000000004
CHEMBL3085089,CHRM3,modsar,1,7.64,7.05,0.5899999999999999
CHEMBL3087232,CHRM3,modsar,1,9.8,9.22,0.5800000000000001
CHEMBL3087236,CHRM3,modsar,1,9.7,9.22,0.47999999999999865
CHEMBL3087243,CHRM3,modsar,1,8.1,9.22,1.120000000000001
CHEMBL3087244,CHRM3,modsar,1,9.4,9.22,0.17999999999999972
CHEMBL3087362,CHRM3,modsar,1,9.8,9.22,0.5800000000000001
CHEMBL3087370,CHRM3,modsar,1,9.6,9.22,0.379999999999999
CHEMBL3087371,CHRM3,modsar,1,9.3,9.22,0.08000000000000007
CHEMBL3087373,CHRM3,modsar,1,9.1,9.22,0.120000000000001
CHEMBL3087374,CHRM3,modsar,1,8.6,9.22,0.620000000000001
CHEMBL3087376,CHRM3,modsar,1,9.1,9.22,0.120000000000001
CHEMBL3087946,CHRM3,modsar,1,9.7,9.22,0.47999999999999865
CHEMBL3087950,CHRM3,modsar,1,8.5,9.22,0.7200000000000006
CHEMBL3087952,CHRM3,modsar,1,10.0,9.22,0.7799999999999994
CHEMBL3087954,CHRM3,modsar,1,9.6,9.22,0.379999999999999
CHEMBL3087961,CHRM3,modsar,1,10.2,9.22,0.9799999999999986
CHEMBL3088076,CHRM3,modsar,1,8.6,9.22,0.620000000000001
CHEMBL3088077,CHRM3,modsar,1,7.4,9.22,1.8200000000000003
CHEMBL3088078,CHRM3,modsar,1,7.4,9.22,1.8200000000000003
CHEMBL3088084,CHRM3,modsar,1,9.8,9.22,0.5800000000000001
CHEMBL3140096,CHRM3,modsar,1,7.07,7.05,0.020000000000000462
CHEMBL3140098,CHRM3,modsar,1,7.19,7.05,0.14000000000000057
CHEMBL3140111,CHRM3,modsar,1,8.19,7.05,1.1399999999999997
CHEMBL3140145,CHRM3,modsar,1,6.95,7.05,0.09999999999999964
CHEMBL3140170,CHRM3,modsar,1,8.34,7.05,1.29
CHEMBL3140171,CHRM3,modsar,1,7.19,7.05,0.14000000000000057
CHEMBL3140172,CHRM3,modsar,1,7.13,7.05,0.08000000000000007
CHEMBL3559199,CHRM3,modsar,1,7.19,9.22,2.0300000000000002
CHEMBL3559203,CHRM3,modsar,1,8.7,9.22,0.5200000000000014
CHEMBL3559204,CHRM3,modsar,1,7.48,9.22,1.7400000000000002
CHEMBL3559205,CHRM3,modsar,1,7.22,9.22,2.000000000000001
CHEMBL3559211,CHRM3,modsar,1,9.1,9.22,0.120000000000001
CHEMBL3633663,CHRM3,modsar,1,4.835,4.265000000000001,0.5699999999999994
CHEMBL3670828,CHRM3,modsar,1,8.68,9.22,0.5400000000000009
CHEMBL415,CHRM3,modsar,1,6.77,6.72,0.04999999999999982
CHEMBL449640,CHRM3,modsar,1,7.6,7.9,0.3000000000000007
CHEMBL450093,CHRM3,modsar,1,6.4,7.3,0.8999999999999995
CHEMBL450685,CHRM3,modsar,1,6.3,7.3,1.0
CHEMBL458105,CHRM3,modsar,1,6.0,7.3,1.2999999999999998
CHEMBL461571,CHRM3,modsar,1,5.81,6.5,0.6900000000000004
CHEMBL468609,CHRM3,modsar,1,7.8,7.9,0.10000000000000053
CHEMBL479,CHRM3,modsar,1,7.05,6.72,0.33000000000000007
CHEMBL492359,CHRM3,modsar,1,6.7,6.5,0.20000000000000018
CHEMBL492702,CHRM3,modsar,1,6.3,6.5,0.20000000000000018
CHEMBL492756,CHRM3,modsar,1,6.5,6.5,0.0
CHEMBL492802,CHRM3,modsar,1,7.1,6.5,0.5999999999999996
CHEMBL494411,CHRM3,modsar,1,6.5,6.5,0.0
CHEMBL494742,CHRM3,modsar,1,6.1,6.5,0.40000000000000036
CHEMBL494778,CHRM3,modsar,1,6.6,6.5,0.09999999999999964
CHEMBL494781,CHRM3,modsar,1,6.3,6.5,0.20000000000000018
CHEMBL494836,CHRM3,modsar,1,6.5,6.5,0.0
CHEMBL501486,CHRM3,modsar,1,5.7,6.5,0.7999999999999998
CHEMBL502000,CHRM3,modsar,1,5.8,7.3,1.5
CHEMBL507760,CHRM3,modsar,1,5.33,5.23103016504857,0.09896983495143008
CHEMBL509614,CHRM3,modsar,1,7.5,7.9,0.40000000000000036
CHEMBL517087,CHRM3,modsar,1,7.6,7.3,0.2999999999999998
CHEMBL518001,CHRM3,modsar,1,7.7,7.3,0.40000000000000036
CHEMBL519893,CHRM3,modsar,1,5.6,7.3,1.7000000000000002
CHEMBL523012,CHRM3,modsar,1,5.4,6.5,1.0999999999999996
CHEMBL523712,CHRM3,modsar,1,6.2,6.5,0.2999999999999998
CHEMBL549577,CHRM3,modsar,1,9.12,8.23,0.8899999999999988
CHEMBL551525,CHRM3,modsar,1,7.03,7.05,0.019999999999999574
CHEMBL554699,CHRM3,modsar,1,9.15,8.23,0.9199999999999999
CHEMBL556426,CHRM3,modsar,1,9.38,9.22,0.16000000000000014
CHEMBL562642,CHRM3,modsar,1,9.41,8.23,1.1799999999999997
CHEMBL588119,CHRM3,modsar,1,5.34,6.06,0.7199999999999998
CHEMBL59898,CHRM3,modsar,1,6.02,5.47,0.5499999999999998
CHEMBL60142,CHRM3,modsar,1,5.43,5.47,0.040000000000000036
CHEMBL643,CHRM3,modsar,1,7.7,6.72,0.9800000000000004
CHEMBL726,CHRM3,modsar,1,5.33,5.819999999999999,0.4899999999999993
CHEMBL75880,CHRM3,modsar,1,5.51,8.36,2.8499999999999996
CHEMBL7634,CHRM3,modsar,1,4.77,6.5,1.7300000000000004
CHEMBL787,CHRM3,modsar,1,5.18,6.5,1.3200000000000003
CHEMBL91,CHRM3,modsar,1,5.5,5.34,0.16000000000000014
CHEMBL936,CHRM3,modsar,1,6.61,8.23,1.62
CHEMBL104,CHRM3,modsar,1,5.0,5.549582867161092,0.5495828671610923
CHEMBL1082365,CHRM3,modsar,1,5.3,6.4598476873755555,1.1598476873755557
CHEMBL1083002,CHRM3,modsar,1,5.0,6.5865044104886366,1.5865044104886366
CHEMBL1083317,CHRM3,modsar,1,5.0,5.505446893846395,0.5054468938463952
CHEMBL1083926,CHRM3,modsar,1,5.6,6.583961975136046,0.9839619751360464
